Title,Main Link,Sub Link,Status
"Arguing with Digital History working group, “Digital History and Argument,” white paper",https://rrchnm.org/essays/arguing-with-digital-history-working-group-digital-history-and-argument-white-paper/,https://rrchnm.org/portfolio-item/digital-history-argument-white-paper/,working
Helping Students Make History: Community Engaged Learning,https://rrchnm.org/essays/helping-students-make-history-community-engaged-learning/,https://public-history-weekly.degruyter.com/5-2017-20/students-history-community-engaged-learning/,status code: 403
Helping Students Make History: Community Engaged Learning,https://rrchnm.org/essays/helping-students-make-history-community-engaged-learning/,https://rrchnm.org/essays/helping-students-make-history-community-engaged-learning/#ref1,working
Helping Students Make History: Community Engaged Learning,https://rrchnm.org/essays/helping-students-make-history-community-engaged-learning/,https://rrchnm.org/essays/helping-students-make-history-community-engaged-learning/#ref2,working
Helping Students Make History: Community Engaged Learning,https://rrchnm.org/essays/helping-students-make-history-community-engaged-learning/,https://rrchnm.org/essays/helping-students-make-history-community-engaged-learning/#ref3,working
Helping Students Make History: Community Engaged Learning,https://rrchnm.org/essays/helping-students-make-history-community-engaged-learning/,https://rrchnm.org/essays/helping-students-make-history-community-engaged-learning/#ref4,working
Helping Students Make History: Community Engaged Learning,https://rrchnm.org/essays/helping-students-make-history-community-engaged-learning/,https://rrchnm.org/essays/helping-students-make-history-community-engaged-learning/#ref5,working
Helping Students Make History: Community Engaged Learning,https://rrchnm.org/essays/helping-students-make-history-community-engaged-learning/,https://rrchnm.org/essays/helping-students-make-history-community-engaged-learning/#ref6,working
Helping Students Make History: Community Engaged Learning,https://rrchnm.org/essays/helping-students-make-history-community-engaged-learning/,http://neworleanshistorical.org/,working
Helping Students Make History: Community Engaged Learning,https://rrchnm.org/essays/helping-students-make-history-community-engaged-learning/,http://jasonheppler.org/jasonheppler/2016/08/26/syllabus-for-teaching-digital-public-history/,status code: 404
Helping Students Make History: Community Engaged Learning,https://rrchnm.org/essays/helping-students-make-history-community-engaged-learning/,https://rrchnm.org/essays/helping-students-make-history-community-engaged-learning/#ftn1,working
Helping Students Make History: Community Engaged Learning,https://rrchnm.org/essays/helping-students-make-history-community-engaged-learning/,http://www.uno.edu/campus-news/2016/UNO-to-Hold-First-Michael-Mizell-Nelson-Public-History-Lecture.aspx,status code: 404
Helping Students Make History: Community Engaged Learning,https://rrchnm.org/essays/helping-students-make-history-community-engaged-learning/,https://rrchnm.org/essays/helping-students-make-history-community-engaged-learning/#ftn2,working
